Index_No,Date,Review,Rating (0 - 5)
0,2023-07-11,"The app is good for connecting with friends, family and even potential business partners. However as of recently I've experienced some problems with the messages portion of the app (ex: themes aren't showing up on my end but are present on other person's end). Idk if it has to do with a bug but it happened all of sudden out of nowhere on both of my pages (one private the other public). But besides the occasional bugs and sometimes the app/website being down randomly, I say it's a decent app.",3
1,2023-07-22,"Used to be my favorite social media app, but ""improvements"" have made it harder and harder to use and I find myself using less and less. The most recent terrible ""feature"" added makes the photo carousels autoswipe after 3 seconds. There is no way to turn this off and it is driving me crazy. You are not TikTok - stop trying to be. Also, dark mode breaks down all the time and I find myself in an environment where the background is white with white text, making it impossible to read anything.",2
2,2023-07-25,"Instagram is the best of all the social media. IG is not just a posting platform, it facilitates the processs of getting one's message out to the world. The design functionality of the interface is intuitive and user friendly. It guides me to the best possible options without limiting or directing what I do with my content. No other platform is as responsive or even remotely aware of the unique needs I have. IG knows how to innovate and improve the presentation of complex content.",5
3,2023-07-09,"I love this app.. but as of late, I have been having problems with the screen and background turning white, longer than normal loading, and now it just keeps crashing! If I get a notification I can click and see but the moment I go to home page, it crashes. I uninstalled it, cleared the cache, restarted the phone and nothing works! Please fix the bug in this app.",2
4,2023-07-17,Used to be a great app but there are so many more bugs and issues than ever before. Plus they are ruining their user interface trying to keep up with other social media platforms. Making editing videos in the app extremely infuriating. It's like they try to add all these extra features but don't quite do it in the right way so it actually ends up limiting what you can do. It feels like I'm fighting instagram every time I just want to make a little 15 second reel.,3
5,2023-07-11,The app has been glitching alot. Videos will not play and instead just show a black screen. Audios will not play either. The message themes keep going back to default even once changed they do not stay. I've tried to delete and reinstall and it is still not working. I've done this multiple times as well as restart my phone and nothing has helped. Not working as it should be.,1
6,2023-07-18,"I like this app a lot, but the messaging part of the app is very frustrating. I sometimes won't get notifications when my friends respond to me. One time recently, I sent my friend a reel, and they responded, and then I went to see what they said, and the reel I sent were gone on my end, but they could still see them. Sometimes, I'll send messages, then leave the app, then go back, and it said I never sent the message. Wish the bugs would be fixed because I've dealt with this for a while.",3
7,2023-07-13,"Eventhough sometimes it works, most of the time it doesn't. The quality of videos uploaded to the site sucks as well as the recommended videos (Not Video Resolution). There is also a lack of configuration options for your recommendations, like wanting only verified accounts or just being able to manually change your interests, or just the ability to reset your suggestion feed. The way the site is set up can also be confusing. ðto Instagram and Meta for the quality of this app, do better.",2
8,2023-07-14,"I'm not sure what the point of leaving a review will accomplish when the most recent reviews are all regarding the same issues and nothing has been done to address this. I have the same issues, videos, pages, shorts are not fully loading or refreshing, leaving me with black, gray or white screens. If I'm fortunate enough to see a video, short or photos it's the same stuff for days. I hope someone is working on a fix , but by the lack of any response from the developers, users don't matter",1
9,2023-07-13,"This app has so many frustrating aspects. The themes won't work, and when they do it works for 5 minutes then stops. The messages glitch out to where it looks like the messages have been deleted so you refresh the entire page. This happens whenever I open the app. Texting outside of the app hardly works. It doesn't send my messages through there, but when I go into the app it sent it twice. Then the notifications are the most glitchy. They stop until I restart my phone randomly for no reason.",2
10,2023-07-20,"The only complaint i have is about the video calling feature, its too small because it's split screen. Other than that, i love this app and use it daily. Edit 2/13/2022- this app has given me LOTS of issues. It's been twice where i open it and it says ""can't refresh feed."" I've tried uninstalling it and restarting the app but that didn't work. I've also had previous trouble logging in though that seems to be fixed now. I don't know what to do to get it to work. 7/20/23 it's long fixed lol",4
11,2023-07-12,"So a while ago, I noticed that when I talk to people my background keeps getting set back to default colors. I usually talk to my main people, and our background is different than default. But it won't go back, and when I change it the background would either go back to default or it would change but it would only last 1 minute. Please fix this, I've tried reinstalling but it didn't work. My friends said that theirs are normal, so there's something wrong with mine.",3
12,2023-07-09,"Love the app but everytime I open it, after about ten to twenty minutes of scrolling it just stops playing reels, and it is aggravating cause it'll let me scroll and reload stuff, but it will never play it, and it won't let me watch the videos in my saved/stories as well. I've been keeping it updated, I don't understand why it's doing this. Edit: and now it stopped working. Crashes every time I try to get into it.",1
13,2023-07-26,I was fine with all the updates until I watch video posts on the explore page and I HATE that after the clip is done it just moves on to the next post! Esp. if the post has more than one slide it will just move on before I can see the next slide! So Flippin annoying!! Update: now I get this weird black border around all of the videos if I don't tap into it ð¡,2
